,name,city
0,ピアース神楽坂ヒルズ,新宿区
1,ザパークハウス高輪タワー,港区
2,リビオつつじヶ丘タワーレジデンス,調布市
3,エステムプラザ新小岩ルミナス,葛飾区
4,ピアース千代田東神田,千代田区
5,リビオレゾン浅草,台東区
6,ザパークハウス武蔵野境南町,武蔵野市
7,プラウド瑞江,江戸川区
8,リビオレゾン三ノ輪ステーションプレミア,荒川区
9,クラッシィハウス亀有,葛飾区
10,オープンレジデンシア目白プレイス,豊島区
11,ルジェンテ日暮里ガーデン,荒川区
12,パークホームズ志村坂上ザテラス,板橋区
13,ヴァースクレイシアIDZ南千住,荒川区
14,ピアース荻窪,杉並区
15,ピアース用賀レジデンス,世田谷区
16,ヴァレッシア東十条シティ,北区
17,パークホームズ昭島中神,昭島市
18,プラウド目黒洗足ガーデンコート,目黒区
19,ブランズタワー豊洲,江東区
20,リビオレゾン上野入谷ザテラス,台東区
21,ザパークハウス三田ガーデンレジデンス&タワー,港区
22,阿佐ヶ谷ハウス ,杉並区
23,ヴァレッシア東十条,北区
24,フュージョナル北綾瀬,足立区
25,ステージファースト八王子2,八王子市
26,ルフレプレミアム押上イースト,墨田区
27,ヴァースクレイシアアイズ中野富士見町,中野区
28,シエリア町屋,荒川区
29,アンビシャス府中武蔵野台,府中市
30,プレミスト世田谷喜多見,世田谷区
31,クレヴィスタ板橋大山,板橋区
32,ヴァレッシア東十条シティ　,北区
33,プレールドゥーク浅草５,台東区
34,プレシス田端エアマークス,荒川区
35,アトラス築地,中央区
36,クレヴィア渋谷富ヶ谷,渋谷区
37,プラウド元代々木町,渋谷区
38,セイガステージ浅草ザレジデンス,台東区
39,ガーラレジデンス府中宮西町,府中市
40,ガーデンクロス東京王子,北区
41,ザパークハウス御苑内藤町,新宿区
42,マキシヴ王子,北区
43,ステージグランデときわ台アジールコート,板橋区
44,ステージファースト桜新町,世田谷区
45,アイルリーヴァ向島,墨田区
46,レガリス四谷,新宿区
47,クリオラベルヴィ蔵前,台東区
48,プロスタイルウェルス南千住メディフィス,台東区
49,ガリシア池上2,大田区
50,ステージファースト東日本橋,中央区
51,ブリシア調布,調布市
52,ピアース自由が丘レジデンス,世田谷区
53,プレシス新小岩ルミエールヴィラ,江戸川区
54,エクセレントシティ船堀5,江戸川区
55,レーベン八王子マークゲート,八王子市
56,ブランズタワー芝浦,港区
57,南阿佐ヶ谷コーポラティブハウス,杉並区
58,飛鳥山レジデンス,北区
59,ブリシア浅草２,台東区
60,クレヴィア上野御徒町,台東区
61,リムテラス文京弥生,文京区
62,ディップス赤羽志茂レジデンス,北区
63,プレミアムキューブ新宿中井,新宿区
64,パークリュクス神田,千代田区
65,ガリシア新宿西落合２,新宿区
66,スカイコートプライム大井町,品川区
67,グランドメゾン成城六丁目,世田谷区
68,セイガステージ浅草ザグレース,台東区
69,プレミスト蔵前,台東区
70,プレールドゥーク日本橋浜町,中央区
71,リビオレゾン入船（東京・銀座トライアングルプロジェクト）,中央区
72,ラフィスタ新小岩3,葛飾区
73,ラフィスタ西新井,足立区
74,リビオレゾン入船,中央区
75,シティハウス浅草橋,台東区
76,クリオ市谷柳町,新宿区
77,シティハウス文京湯島,文京区
78,ザパークハウス市谷加賀町レジデンス,新宿区
79,ブリシア町屋パークサイド,荒川区
80,オープンレジデンシア三軒茶屋,世田谷区
81,サンウッド錦糸町フラッツ,墨田区
82,オープンレジデンシア東十条,北区
83,マークオモテサンドウワン,渋谷区
84,ルフォン東中野三丁目,中野区
85,メイクス池上ルーチェ,大田区
86,ガリシア武蔵小山,品川区
87,ルフレイムーブル立川,立川市
88,プラウド高田馬場,新宿区
89,ブリリア上野ガーデン,台東区
90,ステージファースト練馬富士見台,練馬区
91,アイルカナーレ門前仲町,江東区
92,クレイシアアイズ新宿落合ディアコート,新宿区
93,オープンレジデンシア大崎,品川区
94,オープンレジデンシア中野ステーションサイド,中野区
95,オープンレジデンシア西荻窪,杉並区
96,コンシェリア品川ベイサイドコート,品川区
97,プレールドゥーク文京湯島,文京区
98,プレールドゥーク小竹向原,練馬区
99,プレールドゥーク大森町,大田区
100,プラウドタワー金町,葛飾区
101,メイクスデザイン東十条,北区
102,ブリリアタワー有明ミッドクロス,江東区
103,ルーブル東武練馬弐番館,板橋区
104,ハイズ綾瀬駅前,足立区
105,ラフィスタ平和島,大田区
106,エストゥルース亀有,葛飾区
107,クレイシアヴァースクレイシアIDZ中野アーバンスクエア,中野区
108,ステージグランデ大島,江東区
109,パークホームズ等々力八丁目,世田谷区
110,アークマーク中野坂上2,中野区
111,レガリス大島,江東区
112,ライオンズ綾瀬セントマークス,足立区
113,ヴェレーナ保谷,西東京市
114,ザパークハウス東雪谷フロント,大田区
115,イニシアテラス目黒学芸大学,目黒区
116,プレミアムキューブ両国DEUX,墨田区
117,シーフォルム板橋,北区
118,アークマーク品川中延Sta.,品川区
119,オープンレジデンシア中野坂上コート,中野区
120,ザヒルズ豊田駅前レジデンス,日野市
121,ジオ調布,調布市
122,ルネサンスコート入谷,台東区
123,ザサンメゾン白金台五丁目,港区
124,リーフィアレジデンス狛江スタイルアベニュー,狛江市
125,シーンズ大森パークサイド,大田区
126,グレーシア世田谷尾山台,世田谷区
127,ブランズ浅草寿,台東区
128,アークマーク梅屋敷アジールコート,大田区
129,コンシェリア池袋ザレジデンスイースト,豊島区
130,コンシェリア池袋ザレジデンスウエスト,豊島区
131,ジェノヴィア板橋東山町スカイガーデン,板橋区
132,コンフォリア日暮里,荒川区
133,グランドメゾン白金台五丁目,港区
134,アトラス表参道,渋谷区
135,スクエアシティ三ノ輪,荒川区
136,クレヴィア中野南台,中野区
137,ディアナコート大森山王,大田区
138,プレシス三鷹上連雀,三鷹市
139,オスピタリテ谷在家,新宿区
140,アークマーク代田橋,世田谷区
141,アルテシモカバロ,墨田区
142,パークホームズ用賀一丁目,世田谷区
143,ガーラパークヒルズ町田,町田市
144,メイクス赤羽岩淵,北区
145,シティハウス日暮里,荒川区
146,オープンレジデンシア飯田橋,文京区
147,ディボーションスタイル東京ノース,足立区
148,常盤松ハウス,港区
149,ソルフィエスタ船堀,江戸川区
150,レジデンスコート吉祥寺,武蔵野市
151,ディアナコート三軒茶屋,世田谷区
152,ガーラシティ品川西大井,品川区
153,ピアース東京尾久,荒川区
154,リヴシティ飯田橋,文京区
155,クレヴィスタ祖師ヶ谷大蔵,世田谷区
156,レグゼ矢口渡,大田区
157,ECREDE蒲田EAST,大田区
158,プレシス秋津ステーションフロント,清瀬市
159,クレヴィスタ高円寺,杉並区
160,ズーム秋葉原スクエア,台東区
161,シティハウス下目黒,目黒区
162,エクセレントシティ聖蹟桜ヶ丘,多摩市
163,サンクレイドル府中武蔵野台,府中市
164,ルジェンテ浅草アベニュー,台東区
165,リビオ下北沢,世田谷区
166,ルーブル五反野,足立区
167,パークコート白金長者丸,品川区
168,サングランデ立石,葛飾区
169,プレールドゥーク南六郷,大田区
170,セジョリ板橋坂下2,板橋区
171,スカイコート武蔵新田2,大田区
172,ガリシア駒込イースト,北区
173,アイルプレミアム押上ノース,墨田区
174,レガリス新中野アンベリール,中野区
175,リビオレゾンサーズデイ調布,調布市
176,クレヴィア西荻窪,杉並区
177,オープンレジデンシア小石川播磨坂,文京区
178,ヴァレッシア森下シティ,江東区
179,ヴェレーナ国分寺恋ヶ窪,国分寺市
180,ヴァレッシア曳舟アンベリール,墨田区
181,プラウド世田谷代田,世田谷区
182,フェルクルール東京スカイテラス,墨田区
183,ベルジュール国立ウエスト,国立市
184,シティタワー武蔵小山,品川区
185,ザ三和レジデンス四ツ木,葛飾区
186,リーフィアレジデンス橋本　,町田市
187,ソルフィエスタ青砥,葛飾区
188,サンクレイドル柴又駅前,葛飾区
189,アイルグランデ大田,大田区
190,ヴォーガコルテ雪が谷大塚,大田区
191,ルネサンスコート押上5,墨田区
192,ザパークハウス目黒青葉台,目黒区
193,オープンレジデンシア中目黒,目黒区
194,プレミアムキューブ東中野,新宿区
195,リムテラス目黒本町,目黒区
196,クラードゥレーヴ西八王子,八王子市
197,クレヴィスタ中野新橋,中野区
198,ヴェレーナ東武練馬レジデンス,板橋区
199,アージョ世田谷東松原Due,世田谷区
200,ザ・パークハウス三田タワー,港区
201,ベルジュール国立ミリュウ,国立市
202,スパシエ新板橋,北区
203,エストゥルース御嶽山,大田区
204,ルーブル下丸子伍番館,大田区
205,ラフィスタ蒲田南2,大田区
206,デュオステージ大泉学園2,練馬区
207,クレヴィア日暮里ザプレイス,荒川区
208,エクセレントシティ拝島駅前,昭島市
209,リビオ成増フォレストエア,板橋区
210,クリオ町屋ウエストマークス,荒川区
211,アルテシモキーファー,江東区
212,パークホームズ成城,世田谷区
213,パークコート文京小石川ザタワー,文京区
214,リビオレゾン勝どきnex,中央区
215,サンクレイドル竹ノ塚2,足立区
216,ライオンズ綾瀬グランフォート,葛飾区
217,パレステージ武蔵小金井2,小金井市
218,サンクレイドル立川幸町,立川市
219,ポレスター昭和記念公園,昭島市
220,パークホームズ船堀,江戸川区
221,プレミスト東銀座築地ArcCourt,中央区
222,パークホームズ成増二丁目,板橋区
223,サンリヤン南砂町,江東区
224,パークリュクス清澄白河,江東区
225,スカイコートグランメゾン御殿山,品川区
226,プレミアムキューブジー北新宿ドゥー,新宿区
227,ハイズステージ西荻窪,杉並区
228,ルフレグランデ多摩川,大田区
229,クレヴィスタ高田馬場,新宿区
230,クレヴィスタ綾瀬,葛飾区
231,ヴァースクレイシア浅草橋,台東区
232,パレドルピナス南千住2,台東区
233,フュージョナル千住緑町,足立区
234,ザパークハウス板橋大山,板橋区
235,ステージファースト成増,板橋区
236,ZOOM北千住,足立区
237,レアライズ蒲田３,大田区
238,アゼストお花茶屋2,葛飾区
239,ベルグレード大山,板橋区
240,ユリカロゼAZ西台,板橋区
241,ティモーネグランデ立川,立川市
242,プラウド日暮里テラス,荒川区
243,ルネサンスコート秋葉原,千代田区
244,グローベル 南千住駅前,荒川区
245,シティテラス金町,葛飾区
246,ピアース目黒青葉台,目黒区
247,プラウド杉並方南町,杉並区
248,イニシア築地レジデンス,中央区
249,ブランズ愛宕虎ノ門,港区
250,グランリビオ芝大門,港区
251,ザサンメゾン白金台,港区
252,クレストラフィーネ板橋本町,板橋区
253,デュオヴェール浅草,台東区
254,ピアース浅草,台東区
255,リーフィアレジデンス上原,渋谷区
256,エクセレントシティ清瀬ステーションリンク,清瀬市
257,プラウド代官山フロント,渋谷区
258,イニシア日暮里テラス,荒川区
259,クレヴィア上野池之端,台東区
260,イニシア板橋桜レジデンス,板橋区
261,アルビオザタワー千代田飯田橋,千代田区
262,プラウド神田駿河台,千代田区
263,ブランズ代々木参宮橋,渋谷区
264,イニシアテラス小竹向原,練馬区
265,パレステージ練馬2,練馬区
266,プレミスト月島,中央区
267,ルフォン浅草蔵前,台東区
268,ティモーネグランデ錦糸町,墨田区
269,シーフォルム三ノ輪,台東区
270,マキシヴ府中AZ,府中市
271,アゼスト梅島,足立区
272,アイルプレミアム江古田,練馬区
273,プレールドゥーク品川南大井,品川区
274,プレールドゥーク東向島,墨田区
275,ルーブル新高島平,板橋区
276,ジオ東日暮里,荒川区
277,コンフォルシア西府,府中市
278,アゼスト亀有2,葛飾区
279,ヴァローレ三ノ輪,台東区
280,ステージファースト田端アジールコート,北区
281,ヴァースクレイシアアイズ王子,北区
282,プレールドゥーク西荻窪,杉並区
283,スカイコートプライム亀戸,江東区
284,グランドコンシェルジュ氷川台,練馬区
285,グランドガーラ東大島,江東区
286,ZOOM月島,中央区
287,プラウド荻窪三丁目,杉並区
288,ルフレ新宿ノース,新宿区
289,ヴェレーナ赤羽志茂プレミアテラス,北区
290,パレステージ西日暮里,荒川区
291,パークホームズ日本橋浜町ザレジデンス,中央区
292,ブリシア西日暮里２,荒川区
293,オープンレジデンシア千駄木フロントコート,文京区
294,オープンレジデンシア白金長者丸,品川区
295,プラウド鷺宮エアリーコート,中野区
296,エクセレントシティ篠崎３ステーションオアシス,江戸川区
297,プラウド文京千駄木ヒルトップ,文京区
298,ファインスクェア大泉学園,練馬区
299,ルネサンスコート中野,中野区
300,クレイシア森下ステーションサイト,江東区
301,センチュリー国分寺悠凛,国分寺市
302,クレヴィア南千住リバーサイドツインウエスト,荒川区
303,クレヴィア南千住リバーサイドツインイースト,荒川区
304,プレミスト平和台,練馬区
305,イニシア大森町エヌズスクエア,大田区
306,プレシス練馬ステーションフロント,練馬区
307,ラフィスタ板橋本町,板橋区
308,クレヴィア南千住リバーサイドツイン,荒川区
309,ガーラパークサイド木場,江東区
310,ルネサンスコート駒込,北区
311,ヴェレーナ赤羽志茂レジデンス,北区
312,ブランシエラ大田多摩川,大田区
313,リビオシティ西葛西親水公園,江戸川区
314,ブランズシティ調布,調布市
315,エクセレントシティ葛西2,江戸川区
316,プラウドシティ吉祥寺,三鷹市
317,ルジェンテ恵比寿,渋谷区
318,ウィルレーナ目白,新宿区
319,アトラス練馬レジデンス,練馬区
320,イニシア三鷹,三鷹市
321,ソルフィエスタ堀切菖蒲園,葛飾区
322,シティハウス御徒町,台東区
323,ルネサンスコート池袋,豊島区
324,ルネサンスコート王子神谷計画,北区
325,プラウド代官山テラス,渋谷区
326,リビオ練馬北町,練馬区
327,ウエリス市谷加賀町,新宿区
328,イニシア日暮里アベニュー,荒川区
329,サングランデ八王子,八王子市
330,ローレルコート赤羽,北区
331,クレイシア板橋本町,板橋区
332,リムテラスガーデン奥沢,世田谷区
333,アゼスト矢口渡,大田区
334,グランドコンシェルジュ鷺宮,中野区
335,クレイシアアイズ学芸大学,目黒区
336,メインステージ亀戸6,江東区
337,アルコバレーノ多摩川AZ,大田区
338,ザパークハウス浅草,台東区
339,ブランズ北千住,足立区
340,クリオ町屋サザンマークス,荒川区
341,クリオ神田,千代田区
342,ザ パークハウス 三鷹レジデンス,三鷹市
343,千住ザタワー,足立区
344,グランリビオ千代田平河町,千代田区
345,ルフォンリブレ赤羽,北区
346,ジーベック大鳥居アジールコート,大田区
347,デュオステージ西ヶ原,北区
348,グランドメゾン代沢三丁目,世田谷区
349,ザパークワンズ門前仲町,江東区
350,ザ・ガーデンズ大田多摩川,大田区
351,エクセレントシティ下丸子,大田区
352,グランドメゾン目白新坂,文京区
353,ザパークハウス市ヶ谷,新宿区
354,パークスクエア日暮里,荒川区
355,ネベル浅草橋,台東区
356,グランドメゾン池田山,品川区
357,クレヴィア赤羽ステーションテラス,北区
358,ルネサンスコート目黒,目黒区
359,ヴァローレ押上3,墨田区
360,ティモーネプレミアム押上イースト,墨田区
361,ロイヤルシーズン南麻布,港区
362,アルテシモアクレ,品川区
363,ハイズ亀戸,江東区
364,ザグラント五反田島津山,品川区
365,メインステージ浅草入谷１,台東区
366,クレヴィア錦糸町ガーデンコースト,墨田区
367,ルネサンスコート新宿余丁町,新宿区
368,リビオレゾン月島ステーションプレミア,中央区
369,パレステージ江北3東館,足立区
370,ミオカステーロ多摩センター,多摩市
371,ピアース祐天寺,目黒区
372,プラウド平和台テラス,練馬区
373,ピアース渋谷ウエスト,渋谷区
374,ブランズ文京白山一丁目,文京区
375,プレミアムキューブ駒込,豊島区
376,プレミアムキューブ森下,江東区
377,シティハウス二子玉川ザグランド,世田谷区
378,メイクス新中野アジールコート,中野区
379,ガリシア下丸子リバーサイド,大田区
380,プレールドゥーク上中里,北区
381,プレールドゥーク門前仲町3,江東区
382,ルフレプレミアム日暮里,荒川区
383,メイクス武蔵関ノース,練馬区
384,ドレッセ都立大学,目黒区
385,ミオカステーロ南多摩,稲城市
386,リリーゼ目白近衛町,新宿区
387,グランドメゾン目白レジデンス,豊島区
388,アージョ大崎,品川区
389,アトラス日暮里グレイスコート,荒川区
390,パークホームズ中目黒,目黒区
391,プラウド日本橋久松町,中央区
392,リビオ成増ブライトエア,板橋区
393,グランドメゾン成城レジデンス,世田谷区
394,ブリシア浅草,台東区
395,吉祥寺東町テラス,武蔵野市
396,エクセレントシティ調布国領２エバーグリーン,調布市
397,ザパークハウス目黒本町,目黒区
398,ブリリア旗の台,品川区
399,ピアース神楽坂レジデンス,新宿区
400,ラフィスタ北綾瀬,足立区
401,サンリヤン北綾瀬,足立区
402,リリーゼ練馬中村橋,練馬区
403,イニシアテラス代々木上原,渋谷区
404,ディアナガーデン鷹番,目黒区
405,アイル品川ウエスト旗の台,大田区
406,ヴォーガコルテ久が原アジールコート,大田区
407,ミッドタワーグランド,中央区
408,ヴォーガコルテ長原,大田区
409,ステージファースト門前仲町,江東区
410,レアライズ蒲田２,大田区
411,プレールドゥーク西新井,足立区
412,プレールドゥーク田園調布南,大田区
413,ガーラアヴェニュー浅草,台東区
414,ピアース品川中延,品川区
415,クレアホームズ喜多見,狛江市
416,プレシス立川レジデンス,立川市
417,ガーラプレシャス東大島,江東区
418,メインステージ立川５,立川市
419,プレシス板橋大山,板橋区
420,代々木上原コーポラティブハウス,渋谷区
421,リルシア墨田八広,墨田区
422,プレミアムキューブ世田谷エムオー,世田谷区
423,グランツオーベル中野,中野区
424,パークホームズ駒沢大学,世田谷区
425,ブリリア目黒青葉台,目黒区
426,ブリリア東中野パークサイドヒルズ,中野区
427,センチュリー武蔵境ソルミタージュ,三鷹市
428,ブランズ桜新町,世田谷区
429,レジデンシャル上板橋パークゲート,板橋区
430,クレヴィア日暮里ザレジデンス　,荒川区
431,ヴァースクレイシア三鷹,三鷹市
432,バウス武蔵境,武蔵野市
433,ヴァローレ西巣鴨,北区
434,デュオステージ大山,板橋区
435,調布ザハウス,調布市
436,クレヴィスタ戸越公園,品川区
437,アゼスト立石R,葛飾区
438,メイクス錦糸町,墨田区
439,レガリス品川サウス,品川区
440,ラフィスタ志村坂上,板橋区
441,グランドコンシェルジュ池袋本町イースト,豊島区
442,ステージファースト経堂アジールコート,世田谷区
443,シーフォルム森下2,墨田区
444,セジョリ西早稲田Ⅱ,新宿区
445,セジョリ南麻布,港区
446,リヴシティ立川ミッド,立川市
447,ブリリア上野プレイス,台東区
448,デュオヴェール氷川台,練馬区
449,メインステージ立川４,立川市
450,日本橋浜町ダイヤレジデンス,中央区
451,パークホームズ中野本町ザレジデンス,中野区
452,ルミードキューブ菊川プレミアム,江東区
453,グリーンパーク日本橋人形町,中央区
454,メインステージ入谷３,台東区
455,リビオ府中寿町,府中市
456,ブリリア西国立,立川市
457,センチュリー亀有,足立区
458,サンクレイドル平井2,江戸川区
459,リムテラスガーデン世田谷中町,世田谷区
460,神楽坂ザレジデンス,新宿区
461,ヴァースクレイシア文京本郷,文京区
462,パークホームズ日本橋橘町,中央区
463,ピアース西馬込,大田区
464,スカイコートグレース調布,調布市
465,ピアース阿佐ヶ谷,杉並区
