name,"言語コード",意味,綴り,
アーデル,ge,貴族,adel,
アーバイル,?,,,
アーバン,en,都会,urban,
アール,en,曲面,r,
ブラン,fr,白,blanc,
アイ,en,目,eye,
アイディー,en,身分証明書,ID,
アイル,en,島,isle,
アクサス,?,,,
アクシア,el,価値,αξία,
アクシル,en,車軸,axle,
アクトピア,?,,,
アジール,de,聖域,asyl,
アスコット,en,地名,ascot,
アゼスト,?,,,
アデニウム,en,アデニウム,adenium,
アトラス,el,神,Atlās,
アネックス,en,別館,annex,
アピス,el,神,apis,エジプト神話
アビタシオン,fr,住居,habitation,
アビテ,fr,住む,habiter,
アプレ,fr,後,après,
アベニュー,fr,通り,avenue,
アムフラット,?,,,
アルシオン,fr,鳥,alcyon,
アルス,la,芸術,ars,
アルファ,,,,
イーグル,en,鷲,eagle,
イースト,en,東,east,
イオ,el,神,io,
ピア,en,仲間,peer,
イニシア,en,開始,initiative,
インデックス,en,指標,index,
インペリアル,en,皇帝,imperial,
ヴァースクレイシア,?,,,
ヴァレッシア,?,,,
ヴァローレ,it,価値,valore,
ヴァン,en,先導者,van,
ヴィアーレ,it,並木道,viale,
ヴィーク,?,,,
ウィーン,,,,
ウィスタリア,en,藤,wisteria,
ヴィップ,en,要人,vip,
ヴィラ,en,別荘,villa,
ヴィルヌーブ,fr,新しい村,villeneuve,
ウィルローズ,en,野生バラ,wild-rose,
ヴィレ,ge,意志,Wille,
ヴィレッジ,en,村落,village,
ウィン,en,勝利,win,
ウイング,en,翼,wing,
ウィンベルソロ,,,,
ヴェール,fr,緑,vert,
ウエスト,en,西,west,
ヴェラ,it,真実,vera,
ウェリス,en,心地よい,wellith,
ウェル,en,満足,well,
ヴェル,fr,縁,verte,
ヴェルデ,it,緑,verde,
ヴェルト,ge,世界,welt,
ヴェルビュ,fr,ブドウ,verjus,
ヴェルレージュ,en,ベル,bell,
ヴェレーナ,la,真実,verena,
ヴェローナ,it,都市,verona,
ヴォーガコルテ,it,人気の場所,voga corte,
ウッド,en,木,wood,
エヴァー,en,永久,ever,
エヴェナール,?,,,
エクセリア,en,洗練された,excelia,
エクセル,en,優れた,excel,
エクセルシオール,la,優れた,excelsior,
エクセレンス,en,優秀,excellence,
エクセレント,en,優秀,excellent,
エクレール,fr,稲妻,Éclair,
エコ,en,環境,eco,
エスカイア,en,殿,esquire,
エステート,en,住居,estate,
エステム,?,,,
エスポワール,fr,希望,espoir,
エミネンス,en,高貴,eminence,
エルフラット,fr,平ら,el flat,
エレガンス,en,豪華,ellegance,
エンゼル,en,天使,angel,
オープン,en,開幕,open,
オーベル,ge,上位,ober,
オリエンタル,en,東洋的,oriental,
オリエント,en,東洋,orient,
オリンピック,en,オリンピック,Olympics,
オリンポス,el,山,olympos,
カーサ,it,家,casa,
ガーデニア,en,くちなし,gardenia,
ガーデン,en,庭,garden,
ガーラ,es,祭り,gala,
カインド,en,親切,kind,
カテリーナ,it,聖女,caterina,
ガラ,el,牛乳,γάλα,
ガリシア,en,スペイン,galicia,
カルム,fr,穏やか,calme,
キャステール,fr,城,castle,
キャッスル,en,城,castle,
キャニオン,en,谷,canyon,
キャピタル,en,首都,capital,
クィーン,en,女王,queen,
クオス,en,混沌,chaos,
クオリア,en,感覚,qualia,
グラーサ,fr,お陰,grâce à,
クラッシィ,en,高級,classy,
クラディア,en,人名,claudia,
グラン,es,壮大,grand,
グランセ,?,,,
グランツ,ge,輝き,glanz,
グランデ,es,偉大,grande,
グランディ,ru,人名,Grandi,政治家の人名
グランディオ,fr,大二重奏曲,grand duo,
テージ,en,舞台,stage,
グランド,,,,
グランフォート,,,,
グリーン,en,緑,green,
クリオ,en,神,clio,ギリシャ神話人名
クレア,,,,
クレアシオン,fr,創造,création,
クレアトール,,,,
クレイシア,pt,子供,crianca,
グレイス,en,女神,grace,
クレイドル,en,ゆりかご,cradle,
クレヴィア,en,豊か,crevia,
クレヴィスタ,?,,,
グレース,en,美,grace,
クレール,fr,明るい,clair,
クレスト,en,紋章,crest,
クレスパリオ,?,,,
クレッセント,en,三日月,crescent,
グロー,en,輝き,glow,
グローリア,es,栄光,gloria,
グローリオ,es,栄光,glorio,
コアロード,en,貴族,core load,
コーヅ,en,,chord,
コート,en,宮殿,court,
コープ,en,協力,coop,
コーポ,en,住宅,coopo,
コスモ,it,宇宙,cosmo,
コニファー,en,針葉樹,conifer,
コンシェリア,?,,,
コンシェルジュ,fr,案内人,concierge,
コンド,en,分譲アパート,condo,
コンドミニアム,en,分譲マンション,condominium,
コンファーレ,?,,confalle,
コンフォート,en,安心,comfort,
サーパス,en,上回る,surpass,
サーラ,ru,豚肉,сало,
サイド,en,側面,side,
サウス,en,南,south,
サニー,en,太陽,sunny,
サマリヤ,en,善人,samaria,
サン,en,太陽,sun,
サンクタス,la,聖なる,sanctus,
サンライズ,en,日の出,sunrise,
シー,en,海,sea,
シーアイ,?,,,
シーズ,en,種,seeds,
ジーベック,en,船,xebec,
シーン,en,場面,scene,
ジェイ,en,カケス,jay,
ジェノヴィア,?,,,
ジェンド,en,性別,gender,
シティ,en,市,city,
シティオ,es,場所,sitio,
シャトー,fr,城,chateau,
シャトレ,fr,城,châtelet,
シャリエ,fr,熱意,chaleur,
シャルマン,fr,魅力的,charmant,
シャルム,fr,魅力,charme,
シャンブル,fr,部屋,chambre,
シャンボール,fr,地名,Chambord,
ジュエル,en,宝石,jewel,
ジュネス,fr,青年,jeunesse,
シュロス,de,城,sheloss,
ジョイフル,en,楽しい,joyful,
シンシア,en,誠実,cynthia,
スイート,en,甘い,sweet,
ズーム,en,拡大,zoom,
スカーラ,it,幸せ,skāra,
スカイ,en,空,sky,
スクエア,en,四角,square,
スタイル,en,様式,style,
スタジオデン,?,,,
ステイツ,en,国家,state,
ステージ,en,段階,stage,
ステーション,en,駅,station,
ストーク,en,コウノトリ,stork,
スパシエ,?,,,
セイガ,?,,,
セーナ,es,食べ物,cena,
ゼームス,en,,James,人名
セザール,fr,男,César,
セジョリ,fr,素敵,C'est joli,
ゼファー,en,神,zephyr,
セブンスター,en,七つ星,sevenstar,
セボン,fr,美味しい,c'est bon,
セレナ,es,穏やか,serena,
センター,en,中心,center,
センチュリー,en,世紀,century,
セント,en,匂い,scent,
セントラル,en,中心,central,
ソフィア,la,家,sophia,
ソフト,en,柔らかい,soft,
ソル,la,太陽,sol,
ソレイユ,fr,太陽,soliel,
ゾンネン,ge,太陽,sonnenstern,
ダイア,en,ダイア,diamond,
ダイカン,?,,,
ダイナ,?,,,
ダイホー,?,,,
ダイヤモンド,en,ダイヤモンド,diamond,
タワー,en,塔,tower,
チュリス,?,,,
ツイン,en,双子,twin,
ディアージュ,fr,対話する場所,diage,
ディアスタ,el,星,aster,
ディアナ,en,人名,diana,
ディアレイシャス,,,,
ディップス,en,くぼみ,dips,
ディナ,en,正義,dina,
サンテミリオン,fr,地名,saint-Emilion,フランス南西部
デュープレックス,en,二重の,duplex,
デュオ,el,2,duo,
パレ,fr,宮殿,palace,
ステュディオ,fr,マンション,studio,
テラス,en,テラス,terrace,
ドゥエ,ru,2,two,
トゥルース,en,真実,truth,
ドエル,en,住む,dwell,
アルス,en,,ARS,American Residential Serviceの略語
トーア,de,ゴール,tor,
トーカン,en,トークン,token,
トーシン,?,,,
フェニックス,en,永遠,phoenix,
トップ,en,頂上,top,
ドミール,fr,住居,domicile,
ドムス,la,家,domus,
ドメイン,en,領地,domain,
ドラゴン,en,ドラゴン,dragon,
ドリーム,en,夢,dream,
ドルチェ,ru,甘い,dolce,
ドルフ,de,田舎,dolf,
ドルミ,ru,眠り,dormi,
ドレッセ,fr,美しい,dresser,
ナード,en,オタク,nerd,
ナイス,en,良い,nice,
ナショナル,en,国の,national,
ナビウス,?,,,
ニック,en,切り込み,nick,
ニュー,en,新しい,new,
ネオ,el,新しい,neo,
マイム,en,役者,mime,
ネク,?,,,ネクステージとかに含まれているやつだから、消してもいいかも
ノヴァ,la,新しい,nova,
ノース,en,北,north,
ノーブル,en,威厳,noble,
パーク,en,公園,park,
パート,en,部分,part,
バーム,de,木,baum,
パームス,,,,
ハーモニー,,,,
パール,en,真珠,pearl,
ハイズ,,,,
ハイセレサ,,,,
ハイツ,en,高台,heights,
ハイデンス,,,,
ハイネス,,,,
ハイマート,de,家,heimat,
ハイム,ge,家,heim,
ハイラーク,,,,
ハイライズ,,,,
ハイライン,,,,
ハウス,en,家,house,
パシフィック,en,太平洋,pacific,
パティーナ,en,古つや,patina,
パティオ,es,庭,patio,
パテラ,,,,
パラシオン,es,宮殿,palacio,
パラスト,,,,
パリオ,la,創造,pallium,
パルテール,fr,庭,parterre,
パルナス,,,,
パレ,fr,宮殿,palais,
パレス,en,宮殿,palace,
パレドール,,,,
パロス,en,島,Πάρος,
ピア,fr,貴族,peer,
ビアネーズ,,,,
ビッグ,en,大きい,big,
ビバリー,,,,
ヒミコ,,,,
ビュー,en,眺め,view,
ビューネ,de,舞台,buhne,
ヒル,en,丘,hill,
ヒルズ,en,丘,hills,
ファースト,en,最初,first,
ファイン,en,繊細,fine,
ファミール,fr,家族的な,famille,
ファミリア,fr,親しみ,familiar,
ファミリー,en,家族,family,
フィエスタ,es,祝祭,feast,
フェアロージュ,,,,
フェニックス,,,,
フェルクルールプレスト,,,,
フォース,,,,
フォルム,fr,形,forme,
フォレスト,en,森,forest,
フュージョナル,,,,
ブライズ,,,,
プライム,en,重要,prime,
プラウド,,,,
プラザ,,,,
フラッツ,,,,
フラット,,,,
フラワー,en,花,flower,
ブランズ,,,,
ブリシア,,,,
プリムローズ,fr,桜,primerose,
ブリリア,,,,
ブリリアンス,en,輝かしい,briliance,
プリンス,en,王子,prince,
プレ,en,前,pre,
プレイス,en,場所,place,
プレール,,,,
プレールドゥーク,,,,
プレジール,,,,
プレシス,en,貴重,precious,
プレジャー,en,喜び,pleasure,
プレシャス,,,,
プレステージ,en,名誉,prestige,
プレミアムキューブ,,,,
プレミスト,,,,
プロスペアー,en,繁栄,prosperity,
プロムナード,fr,散歩,promenade,
フロント,en,前,front,
ペア,en,組,pair,
ペガサス,,,,
ベリスタ,,,,
ベル,fr,美,belle,
ベルグレード,fr,美女,bellgrade,
ベルコリーヌ,fr,美しい丘,bellecolline,
ベルジュール,fr,美しい日,bel jour,
ベルテ,,,,
ポート,en,港,port,
ホーム,en,住居,home,
ホームズ,en,住居,home,
ボヌール,fr,幸運,bonheur,
マークス,en,目立つ,marks,人名、地名
マートル,,,,
マイ,en,私,my,
マキシヴ,,,,
マック,,,,
マリオン,en,窓枠,marion,
ミオカステーロ,,,,
ミリオン,en,無数,million,
ミルーナ,es,私の月,mi luna,
メイクスデザイン,,,,
メイゾン,fr,家,maison,
メイツ,,,,
メイン,,,,
メゾネット,,,,
メゾン,fr,家,maison,
メゾンド,fr,店,maison,
メゾンドール,fr,金の家,maison d'or,
メルシー,fr,ありがとう,merci,
モア,en,もっと,more,
モナーク,,,,
モリス,en,人名,morris,
ヤモンド,,,,
ユースフル,en,便利,useful,
ユニアス,el,人名,Junias,人名
ユニーブル,,,,
ライオン,en,ライオン,lion,
ライジングプレイス,,,,
ライト,en,光,light,
ライネス,en,人名,lainez,
ライフ,en,生活,life,
ライブ,en,生活,live,
ヴィエ,fr,生活,vie,
ドール,fr,黄金,dor,
ラグジュアリー,en,豪華,luxury,
ラス,,,,
ラフィスタ,fr,洗練,raffistar,
ラフィネ,fr,洗練,raffine,
ラポール,fr,信頼,rapport,
ラミアール,?,,,
ランド,en,土地,land,
リーベスト,en,最高な暮らし,libest,
リヴ,,,,
リシェ,fr,富,riche,
リスト,en,表,list,
リッツ,en,豪華,ritz,
リバー,en,川,river,
リビオ,en,オアシス,living oasis,
リブレ,es,自由,libre,
リム,en,ふち,rim,
リュクス,en,贅沢,luxe,
リライアンス,en,信頼,reliance,
リリーゼ,,,,
リリーベル,en,スズラン,lily bell,
リリエン,fr,百合,lilien,
リレント,en,又貸し,re-rent,
シャトレ,fr,城,châtelet,
ルーブル,ru,通貨,rubl,
ルジェンテ,it,人々,l'gente,
ルッソ,it,贅沢,lusso,
ルネサンス,fr,再生,renaissance,
ルピナス,en,花,lupin,
ルフォン,fr,本質,le fond,
ルミエール,fr,光,lumiere,
ルミネ,en,照らす,lumine,
ルリオン,fr,ライオン,le lion,
レアライズ,en,現実,realize,
レイク,en,池,lake,
レーベン,de,命,leben,
スガルテン,?,,,
リヴァーレ,ru,好敵手,rivale,
レガリス,la,王者,regalis,
レクシオ,?,,,会社名で由来不明
レグゼ,de,躍動感,regza,
レクセル,en,先駆者,lexel,a Leader of EXcellent Enjoyable Life の略で「快適環境を創造する先駆者
レジェイド,en,翡翠,jade,
レジェンド,en,伝説,legend,
レジダンス,fr,住居,residence,
レジデンス,en,住居,residence,
レヂオンス,?,,,
レックス,la,王,rex,
レフィール,es,語る,referir,
ロアール,fr,地名,loire,ロアール地方
ロイアル,en,王,royal,
ロイヤル,en,王室の,layal,
ローズ,en,薔薇,rose,
ローヤル,en,王,royal,
ローレル,en,月桂,laurel,
ロワール,fr,ロワール川,Loire,
ロワイヤル,fr,王宮,royal,
ワールド,en,世界,world,
ワコー,ja,地名,wako,
