city,en,fr,sp,ge,it,la,gr,ru,po,ja
新宿区,1259,319,107,67,82,39,114,33,9,4
港区,1180,290,107,30,48,33,74,17,4,1
調布市,325,62,20,26,13,7,68,2,0,2
葛飾区,698,155,49,49,40,13,109,4,0,10
千代田区,360,105,34,13,14,3,35,3,2,0
台東区,790,211,68,44,45,15,95,8,9,2
武蔵野市,291,61,15,17,6,4,34,1,1,0
江戸川区,776,181,71,44,68,17,88,6,0,2
荒川区,472,102,36,28,36,8,55,6,1,3
豊島区,783,225,61,57,45,16,53,23,3,9
板橋区,1211,286,76,82,92,21,135,23,6,9
杉並区,1141,301,87,82,61,22,109,32,3,7
世田谷区,2206,565,191,184,84,84,132,33,6,12
北区,616,164,40,52,52,16,61,12,4,5
昭島市,104,19,2,5,2,0,7,1,0,2
目黒区,785,203,48,45,42,26,44,14,5,1
江東区,1085,208,105,94,104,31,87,26,5,3
足立区,926,212,73,108,44,23,121,9,0,12
八王子市,709,180,19,33,21,4,59,5,0,2
墨田区,832,228,68,49,79,21,92,20,10,1
中野区,691,228,47,46,64,12,49,40,2,4
府中市,349,80,25,15,13,10,52,4,0,2
中央区,696,155,63,21,34,19,54,13,3,4
渋谷区,1096,278,93,50,61,35,71,21,0,6
大田区,1638,415,196,181,156,44,108,93,8,7
文京区,864,260,86,42,31,27,78,11,3,6
品川区,1129,300,95,42,83,23,66,39,10,1
立川市,248,45,17,13,15,3,16,2,0,2
練馬区,1225,283,103,72,77,11,122,38,4,3
西東京市,245,42,19,9,5,10,25,1,0,0
日野市,178,41,10,7,4,1,22,0,0,0
狛江市,88,25,8,10,7,4,8,2,0,2
三鷹市,282,67,22,19,17,6,35,3,1,0
町田市,373,58,25,14,15,18,30,4,0,0
清瀬市,112,9,3,1,2,0,4,0,0,0
多摩市,706,116,10,16,13,3,40,2,0,0
国分寺市,134,38,10,9,6,1,26,0,0,1
国立市,106,28,10,12,3,8,6,0,0,1
小金井市,156,27,3,10,3,5,19,1,0,0
稲城市,93,24,6,5,3,0,4,0,0,1
東村山市,158,42,2,8,1,0,21,0,0,1
東久留米市,90,19,1,9,0,0,3,0,0,0
小平市,195,43,9,9,10,4,27,2,0,3
東大和市,70,13,13,2,2,0,1,1,0,0
青梅市,162,53,14,15,12,2,24,4,0,4
羽村市,57,13,4,4,0,0,7,0,0,1
福生市,64,17,3,4,0,1,4,0,0,2
武蔵村山市,10,3,0,0,0,0,1,0,0,0
あきる野市,6,2,1,1,0,0,1,0,0,0
瑞穂町,2,2,0,0,0,0,0,0,0,0
奥多摩町,1,1,0,0,0,0,0,0,0,0
大島町,1,0,0,0,0,0,1,0,0,0
檜原村,0,0,0,0,0,0,0,0,0,0
日の出町,0,0,0,0,0,0,0,0,0,0
所属未定地,0,0,0,0,0,0,0,0,0,0
