city,en,fr,sp,ge,it,la,gr,ru,po,ja
新宿区,1259,319,107,67,82,39,114,33,9,4
港区,1180,290,107,30,48,33,74,17,4,1
葛飾区,698,155,49,49,40,13,109,4,0,10
千代田区,360,105,34,13,14,3,35,3,2,0
台東区,790,211,68,44,45,15,95,8,9,2
江戸川区,776,181,71,44,68,17,88,6,0,2
荒川区,472,102,36,28,36,8,55,6,1,3
豊島区,783,225,61,57,45,16,53,23,3,9
板橋区,1211,286,76,82,92,21,135,23,6,9
杉並区,1141,301,87,82,61,22,109,32,3,7
世田谷区,2206,565,191,184,84,84,132,33,6,12
北区,616,164,40,52,52,16,61,12,4,5
目黒区,785,203,48,45,42,26,44,14,5,1
江東区,1085,208,105,94,104,31,87,26,5,3
足立区,926,212,73,108,44,23,121,9,0,12
墨田区,832,228,68,49,79,21,92,20,10,1
中野区,691,228,47,46,64,12,49,40,2,4
中央区,696,155,63,21,34,19,54,13,3,4
渋谷区,1096,278,93,50,61,35,71,21,0,6
大田区,1638,415,196,181,156,44,108,93,8,7
文京区,864,260,86,42,31,27,78,11,3,6
品川区,1129,300,95,42,83,23,66,39,10,1
練馬区,1225,283,103,72,77,11,122,38,4,3

