名前,言語コード,意味,綴り,分類
アーデル,ge,貴族,adel,1
アーバイル,?,,,
アーバン,en,都会,urban,11
アール,en,曲面,r,
ブラン,fr,白,blanc,6
アイ,en,目,eye,6
アイディー,en,身分証明書,ID,2
アイル,en,島,isle,4
アクサス,?,,,
アクシア,el,価値,αξία,1
アクシル,en,車軸,axle,6
アクトピア,?,,,
アジール,de,聖域,asyl,3
アスコット,en,地名,ascot,4
アゼスト,?,,,
アデニウム,en,アデニウム,adenium,2
アトラス,el,神,Atlās,3
アネックス,en,別館,annex,9
アピス,el,神,apis,3
アビタシオン,fr,住居,habitation,9
アビテ,fr,住む,habiter,9
アプレ,fr,後,après,6
アベニュー,fr,通り,avenue,11
アムフラット,?,,,
アルシオン,fr,鳥,alcyon,6
アルス,la,芸術,ars,8
アルファ,,,,
イーグル,en,鷲,eagle,5
イースト,en,東,east,4
イオ,el,神,io,3
ピア,en,仲間,peer,12
イニシア,en,開始,initiative,6
インデックス,en,指標,index,6
インペリアル,en,皇帝,imperial,1
ヴァースクレイシア,?,,,
ヴァレッシア,?,,,
ヴァローレ,it,価値,valore,1
ヴァン,en,先導者,van,7
ヴィアーレ,it,並木道,viale,10
ヴィーク,?,,,
ウィーン,,,,
ウィスタリア,en,藤,wisteria,5
ヴィップ,en,要人,vip,7
ヴィラ,en,別荘,villa,9
ヴィルヌーブ,fr,新しい村,villeneuve,11
ウィルローズ,en,野生バラ,wild-rose,5
ヴィレ,,,Wille,2
ヴィレッジ,en,村落,village,11
ウィン,en,勝利,win,6
ウイング,en,翼,wing,3
ウィンベルソロ,,,,
ヴェール,fr,緑,vert,10
ウエスト,en,西,west,6
ヴェラ,it,真実,vera,6
ウェリス,en,心地よい,wellith,8
ウェル,en,満足,well,8
ヴェル,fr,縁,verte,12
ヴェルデ,it,緑,verde,10
ヴェルト,ge,世界,welt,11
ヴェルビュ,fr,ブドウ,verjus,5
ヴェルレージュ,en,ベル,bell,6
ヴェレーナ,la,真実,verena,6
ヴェローナ,it,都市,verona,11
ヴォーガコルテ,it,人気の場所,voga corte,11
ウッド,en,木,wood,10
エヴァー,en,永久,ever,6
エヴェナール,?,,,
エクセリア,en,洗練された,excelia,8
